2026-04-07T08:20:05: 
2026-04-07T08:20:05: > siapi-maintenance@1.0.0 start
2026-04-07T08:20:05: > npx serve public -p 5012 -s
2026-04-07T08:20:05: 
2026-04-07T08:20:11:  INFO  Accepting connections at http://localhost:5012
2026-04-07T08:20:13:  HTTP  4/7/2026 8:20:13 AM ::1 GET /
2026-04-07T08:20:13:  HTTP  4/7/2026 8:20:13 AM ::1 Returned 200 in 41 ms
2026-04-07T08:20:13:  HTTP  4/7/2026 8:20:13 AM ::1 GET /favicon.ico
2026-04-07T08:20:13:  HTTP  4/7/2026 8:20:13 AM ::1 Returned 200 in 1 ms
2026-04-07T09:49:38:  HTTP  4/7/2026 9:49:38 AM ::1 GET /
2026-04-07T09:49:38:  HTTP  4/7/2026 9:49:38 AM ::1 Returned 200 in 10 ms
2026-04-07T09:49:38:  HTTP  4/7/2026 9:49:38 AM ::1 GET /favicon.ico
2026-04-07T09:49:38:  HTTP  4/7/2026 9:49:38 AM ::1 Returned 200 in 2 ms
2026-04-07T09:51:26:  HTTP  4/7/2026 9:51:26 AM ::1 GET /
2026-04-07T09:51:26:  HTTP  4/7/2026 9:51:26 AM ::1 Returned 200 in 1 ms
2026-04-07T09:51:26:  HTTP  4/7/2026 9:51:26 AM ::1 GET /favicon.ico
2026-04-07T09:51:26:  HTTP  4/7/2026 9:51:26 AM ::1 Returned 200 in 4 ms
2026-04-07T09:52:37:  HTTP  4/7/2026 9:52:37 AM ::1 GET /
2026-04-07T09:52:37:  HTTP  4/7/2026 9:52:37 AM ::1 Returned 200 in 2 ms
2026-04-07T09:52:37:  HTTP  4/7/2026 9:52:37 AM ::1 GET /favicon.ico
2026-04-07T09:52:37:  HTTP  4/7/2026 9:52:37 AM ::1 Returned 200 in 1 ms
2026-04-07T09:52:50:  HTTP  4/7/2026 9:52:50 AM ::1 GET /
2026-04-07T09:52:50:  HTTP  4/7/2026 9:52:50 AM ::1 Returned 304 in 2 ms
2026-04-07T09:52:51:  HTTP  4/7/2026 9:52:51 AM ::1 GET /favicon.ico
2026-04-07T09:52:51:  HTTP  4/7/2026 9:52:51 AM ::1 Returned 304 in 1 ms
2026-04-07T09:52:52:  HTTP  4/7/2026 9:52:52 AM ::1 GET /
2026-04-07T09:52:52:  HTTP  4/7/2026 9:52:52 AM ::1 Returned 304 in 1 ms
2026-04-07T09:52:52:  HTTP  4/7/2026 9:52:52 AM ::1 GET /favicon.ico
2026-04-07T09:52:52:  HTTP  4/7/2026 9:52:52 AM ::1 Returned 304 in 2 ms
2026-04-07T09:53:38:  HTTP  4/7/2026 9:53:38 AM ::1 GET /
2026-04-07T09:53:38:  HTTP  4/7/2026 9:53:38 AM ::1 Returned 304 in 2 ms
2026-04-07T09:53:38:  HTTP  4/7/2026 9:53:38 AM ::1 GET /favicon.ico
2026-04-07T09:53:38:  HTTP  4/7/2026 9:53:38 AM ::1 Returned 304 in 1 ms
2026-04-07T09:53:57:  HTTP  4/7/2026 9:53:57 AM ::1 GET /
2026-04-07T09:53:57:  HTTP  4/7/2026 9:53:57 AM ::1 Returned 200 in 2 ms
2026-04-07T09:53:57:  HTTP  4/7/2026 9:53:57 AM ::1 GET /favicon.ico
2026-04-07T09:53:57:  HTTP  4/7/2026 9:53:57 AM ::1 Returned 200 in 1 ms
2026-04-07T09:53:58:  HTTP  4/7/2026 9:53:58 AM ::1 GET /
2026-04-07T09:53:58:  HTTP  4/7/2026 9:53:58 AM ::1 Returned 304 in 1 ms
2026-04-07T09:53:59:  HTTP  4/7/2026 9:53:59 AM ::1 GET /favicon.ico
2026-04-07T09:53:59:  HTTP  4/7/2026 9:53:59 AM ::1 Returned 304 in 2 ms
2026-04-07T09:54:00:  HTTP  4/7/2026 9:54:00 AM ::1 GET /
2026-04-07T09:54:00:  HTTP  4/7/2026 9:54:00 AM ::1 Returned 304 in 1 ms
2026-04-07T09:54:00:  HTTP  4/7/2026 9:54:00 AM ::1 GET /favicon.ico
2026-04-07T09:54:00:  HTTP  4/7/2026 9:54:00 AM ::1 Returned 304 in 2 ms
2026-04-07T09:56:32:  HTTP  4/7/2026 9:56:32 AM ::1 GET /
2026-04-07T09:56:32:  HTTP  4/7/2026 9:56:32 AM ::1 Returned 200 in 3 ms
2026-04-07T09:56:32:  HTTP  4/7/2026 9:56:32 AM ::1 GET /favicon.ico
2026-04-07T09:56:32:  HTTP  4/7/2026 9:56:32 AM ::1 Returned 200 in 5 ms
2026-04-07T09:56:36:  HTTP  4/7/2026 9:56:36 AM ::1 GET /
2026-04-07T09:56:36:  HTTP  4/7/2026 9:56:36 AM ::1 Returned 200 in 2 ms
2026-04-07T09:56:36:  HTTP  4/7/2026 9:56:36 AM ::1 GET /favicon.ico
2026-04-07T09:56:36:  HTTP  4/7/2026 9:56:36 AM ::1 Returned 200 in 1 ms
2026-04-07T09:56:37:  HTTP  4/7/2026 9:56:37 AM ::1 GET /
2026-04-07T09:56:37:  HTTP  4/7/2026 9:56:37 AM ::1 Returned 304 in 1 ms
2026-04-07T09:56:37:  HTTP  4/7/2026 9:56:37 AM ::1 GET /favicon.ico
2026-04-07T09:56:37:  HTTP  4/7/2026 9:56:37 AM ::1 Returned 304 in 1 ms
2026-04-07T09:56:53:  HTTP  4/7/2026 9:56:53 AM ::1 GET /
2026-04-07T09:56:53:  HTTP  4/7/2026 9:56:53 AM ::1 Returned 200 in 2 ms
2026-04-07T09:56:53:  HTTP  4/7/2026 9:56:53 AM ::1 GET /favicon.ico
2026-04-07T09:56:53:  HTTP  4/7/2026 9:56:53 AM ::1 Returned 200 in 3 ms
2026-04-07T10:04:29:  HTTP  4/7/2026 10:04:29 AM ::1 GET /
2026-04-07T10:04:29:  HTTP  4/7/2026 10:04:29 AM ::1 Returned 200 in 2 ms
2026-04-07T10:04:29:  HTTP  4/7/2026 10:04:29 AM ::1 GET /logokma.png
2026-04-07T10:04:29:  HTTP  4/7/2026 10:04:29 AM ::1 Returned 200 in 5 ms
2026-04-07T10:04:29:  HTTP  4/7/2026 10:04:29 AM ::1 GET /favicon.ico
2026-04-07T10:04:29:  HTTP  4/7/2026 10:04:29 AM ::1 Returned 200 in 1 ms
2026-04-07T10:04:43:  HTTP  4/7/2026 10:04:43 AM ::1 GET /
2026-04-07T10:04:43:  HTTP  4/7/2026 10:04:43 AM ::1 Returned 304 in 1 ms
2026-04-07T10:04:44:  HTTP  4/7/2026 10:04:44 AM ::1 GET /logokma.png
2026-04-07T10:04:44:  HTTP  4/7/2026 10:04:44 AM ::1 Returned 304 in 1 ms
2026-04-07T10:04:44:  HTTP  4/7/2026 10:04:44 AM ::1 GET /favicon.ico
2026-04-07T10:04:44:  HTTP  4/7/2026 10:04:44 AM ::1 Returned 304 in 2 ms
2026-04-07T10:04:44:  HTTP  4/7/2026 10:04:44 AM ::1 GET /
2026-04-07T10:04:44:  HTTP  4/7/2026 10:04:44 AM ::1 Returned 200 in 3 ms
2026-04-07T10:04:44:  HTTP  4/7/2026 10:04:44 AM ::1 GET /logokma.png
2026-04-07T10:04:44:  HTTP  4/7/2026 10:04:44 AM ::1 Returned 304 in 1 ms
2026-04-07T10:04:44:  HTTP  4/7/2026 10:04:44 AM ::1 GET /favicon.ico
2026-04-07T10:04:44:  HTTP  4/7/2026 10:04:44 AM ::1 Returned 200 in 1 ms
2026-04-07T10:04:45:  HTTP  4/7/2026 10:04:45 AM ::1 GET /
2026-04-07T10:04:45:  HTTP  4/7/2026 10:04:45 AM ::1 Returned 304 in 1 ms
2026-04-07T10:04:45:  HTTP  4/7/2026 10:04:45 AM ::1 GET /logokma.png
